"plot_id","group_id","species","dbh_class_index","basal_cm2_ha"
"1150_2",ostrya_virginiana_1150_2,Ostrya virginiana,9,8300.00000000000000000000
"1189_3",tilia_americana_1189_3,Tilia americana,7,3976.000000000000000000000
"1177_2",lonicera_maackii_1177_2,Lonicera maackii,0,29.44500000000000000000
"1196_1","1196_1st",Vitis riparia,2,180.3750000000000000000
"1047_2","1047_2nd",Liriodendron tulipifera,12,14053.050797854200
"1272_3",vitis_aestivalis_1272_3,Vitis aestivalis,2,24.05000000000000000000000
VIBI028_1,VIBI028_1st,Standing dead,2,216.45000000000000000000000
"1026_3",acer_rubrum_1026_3,Acer rubrum,8,5940.00000000000000000000
"3732_1","3732_1st",Quercus velutina,7,7952.000000000000000000000
"1016_3",acer_rubrum_1016_3,Acer rubrum,2,60.12500000000000000000000
"3367_2","3367_2nd",Fraxinus sp.,6,2405.000000000000000000000
"3495_2",rubus_pensilvanicus_3495_2,Rubus pensilvanicus,1,1.963000000000000000000000
"3378_1","3378_1st",Populus deltoides,11,49889.198197353000
"1128_3",fraxinus_pennsylvanica_1128_3,Fraxinus pennsylvanica,4,1104.5000000000000000000000
"1370_1","1370_1st",Fagus grandifolia,11,69706.992974728100
Large-048_1,acer_rubrum_Large-048_1,Acer rubrum,5,2454.000000000000000000000
"1199_2",quercus_bicolor_1199_2,Quercus bicolor,9,8300.00000000000000000000
"1147_2",acer_saccharum_1147_2,Acer saccharum,5,4908.00000000000000000
"1069_1","1069_1st",Acer saccharum,6,4810.000000000000000000000
"1019_2","1019_2nd",Standing dead,4,883.6000000000000000000000
Large-066_1,fraxinus_pennsylvanica_Large-066_1,Fraxinus pennsylvanica,6,6012.500000000000000000000
"3413_2",acer_rubrum_3413_2,Acer rubrum,9,8300.00000000000000000000
"1289_3",rosa_multiflora_1289_3,Rosa multiflora,0,7.852000000000000000000000
"1253_3",crataegus_sp.1_1253_3,Crataegus sp.,2,120.25000000000000000000000
"1128_1","1128_1st",Hamamelis virginiana,1,19.630000000000000000000000
"1098_1","1098_1st",Parthenocissus quinquefolia,1,9.81500000000000000000
"1053_2","1053_2nd",Carya cordiformis,11,29802.404549014200
"1050_1","1050_1st",Fagus grandifolia,1,5.889000000000000000000000
"1110_2",acer_nigrum_1110_2,Acer nigrum,6,2405.000000000000000000000
"3409_2","3409_2nd",Acer rubrum,4,2650.8000000000000000000000
"1141_3",crataegus_crus-galli_1141_3,Crataegus crus-galli,8,5940.00000000000000000000
"1131_1","1131_1st",Magnolia acuminata,4,2761.250000000000000000
"1243_1","1243_1st",Acer rubrum,8,5940.00000000000000000000
"1350_1","1350_1st",Parthenocissus quinquefolia,2,96.2000000000000000000
Large-115_1,crataegus_coccinea_Large-115_1,Crataegus coccinea,2,60.12500000000000000000000
"1327_2",ulmus_americana_1327_2,Ulmus americana,6,19240.00000000000000000
"1221_1","1221_1st",Acer rubrum,9,8300.00000000000000000000
"1264_1","1264_1st",Fagus grandifolia,2,1539.20000000000000000000000
"3428_2",standing_dead_3428_2,Standing dead,5,9816.000000000000000000000
"1294_2",fagus_grandifolia_1294_2,Fagus grandifolia,4,3534.4000000000000000000000
"1201_3",carya_ovata_1201_3,Carya ovata,4,3313.500000000000000000
"1178_1","1178_1st",Carya ovata,2,72.15000000000000000000000
"1058_2","1058_2nd",Lindera benzoin,0,35.334000000000000000000000
X-Large-003_1,ulmus_americana_X-Large-003_1,Ulmus americana,3,441.6000000000000000000000
"1012_3",carya_cordiformis_1012_3,Carya cordiformis,5,3681.000000000000000000000
"1197_3",fagus_grandifolia_1197_3,Fagus grandifolia,6,4810.000000000000000000000
VIBI039_1,VIBI039_1st,Quercus rubra,2,24.05000000000000000000000
"1055_3",prunus_serotina_1055_3,Prunus serotina,4,2209.0000000000000000000000
"1021_1","1021_1st",Crataegus sp.,4,1472.666666666666666667
"3402_2",rhamnus_frangula_3402_2,Rhamnus frangula,2,4990.3750000000000000000
"1360_2",pyrus_sp.1_1360_2,Pyrus sp.,1,4.907500000000000000000000
"1177_3",standing_dead_1177_3,Standing dead,3,1656.0000000000000000000000
VIBI016_1,VIBI016_1st,Standing dead,12,33695.544705159000
